class_name,description,part_c_review_rule
roof,Building roof surfaces visible in the refined ROI.,Allowed surface-cover label; manual review required before final masks.
concrete_pavement,"Light hardscape, plazas, walkways, and paved open areas.",Allowed surface-cover label; manual review required before final masks.
asphalt_road,Dark road carriageways and similar asphalt surfaces.,Allowed surface-cover label; manual review required before final masks.
vegetation_tree,Tree canopy and taller woody vegetation.,Allowed surface-cover label; manual review required before final masks.
grass_low_vegetation,"Grass, planted ground cover, and low vegetation.",Allowed surface-cover label; manual review required before final masks.
bare_soil,Exposed soil or unsealed ground.,Allowed surface-cover label; manual review required before final masks.
water,Water surfaces.,Allowed surface-cover label; manual review required before final masks.
shadow,Cast shadow or deeply shaded image regions.,Allowed surface-cover label; manual review required before final masks.
vehicle_temporary_object,"Vehicles, movable equipment, or temporary objects.",Allowed surface-cover label; manual review required before final masks.
unclear_ignore,Ambiguous or out-of-scope segments to exclude from final masks.,Allowed surface-cover label; manual review required before final masks.
